"LeagueID","SeasonID","TeamID","TeamCity","TeamName","TeamSlug","Conference","Division","Season","TeamNameFull","espn_team_id","abbreviation","display_name","mascot","nickname","team","color","alternate_color","logo","logo_dark","logos_href_3","logos_href_4"
"00","22022","1610612737","Atlanta","Hawks","hawks","East","Southeast","2022-23","Atlanta Hawks",1,"ATL","Atlanta Hawks","Hawks","Atlanta","Atlanta","002B5C","002b5c","https://a.espncdn.com/i/teamlogos/nba/500/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/atl.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/atl.png"
"00","22022","1610612738","Boston","Celtics","celtics","East","Atlantic","2022-23","Boston Celtics",2,"BOS","Boston Celtics","Celtics","Boston","Boston","006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bos.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bos.png"
"00","22022","1610612751","Brooklyn","Nets","nets","East","Atlantic","2022-23","Brooklyn Nets",17,"BKN","Brooklyn Nets","Nets","Brooklyn","Brooklyn","000000","ffffff","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bkn.png"
"00","22022","1610612766","Charlotte","Hornets","hornets","East","Southeast","2022-23","Charlotte Hornets",30,"CHA","Charlotte Hornets","Hornets","Charlotte","Charlotte","1D1060","008ca8","https://a.espncdn.com/i/teamlogos/nba/500/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cha.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cha.png"
"00","22022","1610612741","Chicago","Bulls","bulls","East","Central","2022-23","Chicago Bulls",4,"CHI","Chicago Bulls","Bulls","Chicago","Chicago","000000","000000","https://a.espncdn.com/i/teamlogos/nba/500/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/chi.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/chi.png"
"00","22022","1610612739","Cleveland","Cavaliers","cavaliers","East","Central","2022-23","Cleveland Cavaliers",5,"CLE","Cleveland Cavaliers","Cavaliers","Cleveland","Cleveland","061642","fdbb30","https://a.espncdn.com/i/teamlogos/nba/500/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cle.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cle.png"
"00","22022","1610612742","Dallas","Mavericks","mavericks","West","Southwest","2022-23","Dallas Mavericks",6,"DAL","Dallas Mavericks","Mavericks","Dallas","Dallas","0C479D","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/dal.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/dal.png"
"00","22022","1610612743","Denver","Nuggets","nuggets","West","Northwest","2022-23","Denver Nuggets",7,"DEN","Denver Nuggets","Nuggets","Denver","Denver","0860A8","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/den.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/den.png"
"00","22022","1610612765","Detroit","Pistons","pistons","East","Central","2022-23","Detroit Pistons",8,"DET","Detroit Pistons","Pistons","Detroit","Detroit","FA002C","006bb6","https://a.espncdn.com/i/teamlogos/nba/500/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/det.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/det.png"
"00","22022","1610612744","Golden State","Warriors","warriors","West","Pacific","2022-23","Golden State Warriors",9,"GS","Golden State Warriors","Warriors","Golden State","Golden State","003da5","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/gs.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/gs.png"
"00","22022","1610612745","Houston","Rockets","rockets","West","Southwest","2022-23","Houston Rockets",10,"HOU","Houston Rockets","Rockets","Houston","Houston","D40026","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/hou.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/hou.png"
"00","22022","1610612754","Indiana","Pacers","pacers","East","Central","2022-23","Indiana Pacers",11,"IND","Indiana Pacers","Pacers","Indiana","Indiana","061642","00275d","https://a.espncdn.com/i/teamlogos/nba/500/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/ind.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/ind.png"
"00","22022","1610612746","LA","Clippers","clippers","West","Pacific","2022-23","LA Clippers",12,"LAC","LA Clippers","Clippers","LA","LA","FA0028","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/lac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/lac.png"
"00","22022","1610612747","Los Angeles","Lakers","lakers","West","Pacific","2022-23","Los Angeles Lakers",13,"LAL","Los Angeles Lakers","Lakers","Los Angeles","Los Angeles","542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/lal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/lal.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/lal.png"
"00","22022","1610612763","Memphis","Grizzlies","grizzlies","West","Southwest","2022-23","Memphis Grizzlies",29,"MEM","Memphis Grizzlies","Grizzlies","Memphis","Memphis","5D76A8","7399c6","https://a.espncdn.com/i/teamlogos/nba/500/mem.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mem.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mem.png"
"00","22022","1610612748","Miami","Heat","heat","East","Southeast","2022-23","Miami Heat",14,"MIA","Miami Heat","Heat","Miami","Miami","000000","000000","https://a.espncdn.com/i/teamlogos/nba/500/mia.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mia.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mia.png"
"00","22022","1610612749","Milwaukee","Bucks","bucks","East","Central","2022-23","Milwaukee Bucks",15,"MIL","Milwaukee Bucks","Bucks","Milwaukee","Milwaukee","003813","f0ebd2","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mil.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mil.png"
"00","22022","1610612750","Minnesota","Timberwolves","timberwolves","West","Northwest","2022-23","Minnesota Timberwolves",16,"MIN","Minnesota Timberwolves","Timberwolves","Minnesota","Minnesota","0E3764","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/min.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/min.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/min.png"
"00","22022","1610612740","New Orleans","Pelicans","pelicans","West","Southwest","2022-23","New Orleans Pelicans",3,"NO","New Orleans Pelicans","Pelicans","New Orleans","New Orleans","002a5c","b4975a","https://a.espncdn.com/i/teamlogos/nba/500/no.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/no.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/no.png"
"00","22022","1610612752","New York","Knicks","knicks","East","Atlantic","2022-23","New York Knicks",18,"NY","New York Knicks","Knicks","New York","New York","225EA8","f58426","https://a.espncdn.com/i/teamlogos/nba/500/ny.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/ny.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/ny.png"
"00","22022","1610612760","Oklahoma City","Thunder","thunder","West","Northwest","2022-23","Oklahoma City Thunder",25,"OKC","Oklahoma City Thunder","Thunder","Oklahoma City","Oklahoma City","C67C03","f05133","https://a.espncdn.com/i/teamlogos/nba/500/okc.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/okc.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/okc.png"
"00","22022","1610612753","Orlando","Magic","magic","East","Southeast","2022-23","Orlando Magic",19,"ORL","Orlando Magic","Magic","Orlando","Orlando","0860A8","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/orl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/orl.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/orl.png"
"00","22022","1610612755","Philadelphia","76ers","sixers","East","Atlantic","2022-23","Philadelphia 76ers",20,"PHI","Philadelphia 76ers","76ers","Philadelphia","Philadelphia","000000","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/phi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/phi.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/phi.png"
"00","22022","1610612756","Phoenix","Suns","suns","West","Pacific","2022-23","Phoenix Suns",21,"PHX","Phoenix Suns","Suns","Phoenix","Phoenix","23006a","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/phx.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/phx.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/phx.png"
"00","22022","1610612757","Portland","Trail Blazers","blazers","West","Northwest","2022-23","Portland Trail Blazers",22,"POR","Portland Trail Blazers","Trail Blazers","Portland","Portland","000000","bac3c9","https://a.espncdn.com/i/teamlogos/nba/500/por.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/por.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/por.png"
"00","22022","1610612758","Sacramento","Kings","kings","West","Pacific","2022-23","Sacramento Kings",23,"SAC","Sacramento Kings","Kings","Sacramento","Sacramento","393996","8e9090","https://a.espncdn.com/i/teamlogos/nba/500/sac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/sac.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/sac.png"
"00","22022","1610612759","San Antonio","Spurs","spurs","West","Southwest","2022-23","San Antonio Spurs",24,"SA","San Antonio Spurs","Spurs","San Antonio","San Antonio","000000","061922","https://a.espncdn.com/i/teamlogos/nba/500/sa.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/sa.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/sa.png"
"00","22022","1610612761","Toronto","Raptors","raptors","East","Atlantic","2022-23","Toronto Raptors",28,"TOR","Toronto Raptors","Raptors","Toronto","Toronto","CE0F41","061922","https://a.espncdn.com/i/teamlogos/nba/500/tor.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/tor.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/tor.png"
"00","22022","1610612762","Utah","Jazz","jazz","West","Northwest","2022-23","Utah Jazz",26,"UTAH","Utah Jazz","Jazz","Utah","Utah","06143F","f9a01b","https://a.espncdn.com/i/teamlogos/nba/500/utah.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/utah.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/utah.png"
"00","22022","1610612764","Washington","Wizards","wizards","East","Southeast","2022-23","Washington Wizards",27,"WSH","Washington Wizards","Wizards","Washington","Washington","0E3764","e31837","https://a.espncdn.com/i/teamlogos/nba/500/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/wsh.png"
